post_id,date,content_type,topic,posting_time,day_of_week,caption_length,hashtag_count,followers,impressions,reach,views,likes,comments,shares,saves
POST_0001,2024-05-20,Carousel,Promotional,20:41,Thursday,315,,159427,16402,9861,5407,449,49,95,128
POST_0002,2024-01-25,Image,Entertainment,07:05,Tuesday,275,,421523,179752,121843,78260,2773,279,538,743
POST_0003,2024-12-29,Carousel,Tutorial,12:44,Tuesday,373,9,18605,8513,7119,2138,384,66,90,84
POST_0004,2024-07-17,Story,Seasonal,13:06,Wednesday,385,6,223748,121527,76119,52287,1170,160,251,120
POST_0005,2023-01-13,Reel,Educational,19:03,Friday,287,0,400679,62888,58907,43055,4247,470,875,691
POST_0006,2023-10-04,Video,Seasonal,08:06,Tuesday,160,26,476534,52991,32720,20949,622,84,57,150
POST_0007,2023-07-31,Carousel,Promotional,13:27,Sunday,247,25,126457,70570,47942,28666,1452,264,310,228
POST_0008,2024-03-04,Carousel,Tutorial,08:36,Thursday,181,24,325746,134030,123122,96769,3913,474,811,867
POST_0009,2023-07-13,Reel,Entertainment,19:24,Sunday,259,1,95652,24043,22606,16023,1160,256,248,146
POST_0010,2024-12-06,Image,Tutorial,16:07,Friday,328,10,58833,25878,16167,7547,600,78,63,235
POST_0011,2023-08-07,Image,Behind the Scenes,14:11,Wednesday,,29,177158,46338,37541,32865,838,97,86,380
POST_0012,2024-01-17,Video,Promotional,12:50,Tuesday,212,17,442661,149181,87167,63140,1780,405,396,207
POST_0013,2023-03-31,Story,Educational,08:56,Saturday,37,3,345048,50989,31677,28280,1058,250,128,476
POST_0014,2024-10-26,Carousel,Behind the Scenes,21:44,Wednesday,299,,245143,32040,20558,18147,494,75,78,251
POST_0015,2024-10-27,Image,Tutorial,17:06,Tuesday,206,7,142126,22847,18683,15905,1001,198,141,138
POST_0016,2024-08-02,Reel,Promotional,11:48,Sunday,194,29,71677,38508,24572,18508,692,126,77,349
POST_0017,2023-09-14,Story,User Generated,13:40,Thursday,222,5,136111,24183,13752,9154,333,44,27,126
POST_0018,2023-02-12,Reel,User Generated,18:31,Monday,101,27,77192,10715,9984,4026,447,93,104,53
POST_0019,2024-06-03,Carousel,Product,18:08,Thursday,247,20,94355,28793,22835,14294,571,123,135,157
POST_0020,2023-11-10,Story,Product,13:58,Thursday,303,27,344079,51204,43111,32730,1394,162,287,194
POST_0021,2024-12-23,Carousel,Product,11:26,Sunday,152,24,67216,9465,7200,4410,172,32,23,71
POST_0022,2024-05-24,Image,Product,17:02,Friday,69,9,24638,9705,6089,4998,170,21,18,41
POST_0023,2024-01-29,Video,Promotional,17:12,Tuesday,166,24,271627,67004,48575,17768,1481,111,206,431
